,rank,team,avg,obp,year
6,7,Los Angeles Angels,0.259,0.322,2014
7,8,Washington Nationals,0.253,0.321,2014
8,9,St. Louis Cardinals,0.253,0.32,2014
9,10,Oakland Athletics,0.244,0.32,2014
10,11,Cleveland Indians,0.253,0.317,2014
11,12,Tampa Bay Rays,0.247,0.317,2014
12,13,Miami Marlins,0.253,0.317,2014
13,14,Boston Red Sox,0.244,0.316,2014
14,15,Texas Rangers,0.256,0.314,2014
15,16,Kansas City Royals,0.263,0.314,2014
16,17,Baltimore Orioles,0.256,0.311,2014
17,18,San Francisco Giants,0.255,0.311,2014
18,19,Milwaukee Brewers,0.25,0.311,2014
19,20,Chicago White Sox,0.253,0.31,2014
20,21,Houston Astros,0.242,0.309,2014
21,22,New York Mets,0.239,0.308,2014
22,23,New York Yankees,0.245,0.307,2014
23,24,Atlanta Braves,0.241,0.305,2014
24,25,Philadelphia Phillies,0.242,0.302,2014
25,26,Arizona Diamondbacks,0.248,0.302,2014
26,27,Seattle Mariners,0.244,0.3,2014
27,28,Chicago Cubs,0.239,0.3,2014
28,29,Cincinnati Reds,0.238,0.296,2014
29,30,San Diego Padres,0.226,0.292,2014
0,1,Toronto Blue Jays,0.269,0.34,2015
1,2,Detroit Tigers,0.27,0.328,2015
2,3,San Francisco Giants,0.267,0.326,2015
3,4,Los Angeles Dodgers,0.25,0.326,2015
4,5,Boston Red Sox,0.265,0.325,2015
5,6,Texas Rangers,0.257,0.325,2015
6,7,Cleveland Indians,0.256,0.325,2015
7,8,Arizona Diamondbacks,0.264,0.324,2015
8,9,Pittsburgh Pirates,0.26,0.323,2015
9,10,New York Yankees,0.251,0.323,2015
10,11,Kansas City Royals,0.269,0.322,2015
11,12,Chicago Cubs,0.244,0.321,2015
12,13,St. Louis Cardinals,0.253,0.321,2015
13,14,Washington Nationals,0.251,0.321,2015
14,15,Colorado Rockies,0.265,0.315,2015
15,16,Houston Astros,0.25,0.315,2015
16,17,Atlanta Braves,0.251,0.314,2015
17,18,Tampa Bay Rays,0.252,0.314,2015
18,19,Cincinnati Reds,0.248,0.312,2015
19,20,Oakland Athletics,0.251,0.312,2015
20,21,New York Mets,0.244,0.312,2015
21,22,Seattle Mariners,0.249,0.311,2015
22,23,Miami Marlins,0.26,0.31,2015
23,24,Baltimore Orioles,0.25,0.307,2015
24,25,Milwaukee Brewers,0.251,0.307,2015
25,26,Los Angeles Angels,0.246,0.307,2015
26,27,Chicago White Sox,0.25,0.306,2015
27,28,Minnesota Twins,0.247,0.305,2015
28,29,Philadelphia Phillies,0.249,0.303,2015
29,30,San Diego Padres,0.243,0.3,2015
0,1,Boston Red Sox,0.282,0.348,2016
1,2,Chicago Cubs,0.256,0.343,2016
2,3,Colorado Rockies,0.275,0.336,2016
3,4,Pittsburgh Pirates,0.257,0.332,2016
4,5,Detroit Tigers,0.267,0.331,2016
5,6,Toronto Blue Jays,0.248,0.33,2016
6,7,San Francisco Giants,0.258,0.329,2016
7,8,Cleveland Indians,0.262,0.329,2016
8,9,Seattle Mariners,0.259,0.326,2016
9,10,Washington Nationals,0.256,0.326,2016
10,11,St. Louis Cardinals,0.255,0.325,2016
11,12,Milwaukee Brewers,0.244,0.322,2016
12,13,Miami Marlins,0.263,0.322,2016
13,14,Los Angeles Angels,0.26,0.322,2016
14,15,Texas Rangers,0.262,0.322,2016
15,16,Atlanta Braves,0.255,0.321,2016
16,17,Arizona Diamondbacks,0.261,0.32,2016
17,18,Los Angeles Dodgers,0.249,0.319,2016
18,19,Houston Astros,0.247,0.319,2016
19,20,Chicago White Sox,0.257,0.317,2016
20,21,Baltimore Orioles,0.256,0.317,2016
21,22,Minnesota Twins,0.251,0.316,2016
22,23,New York Mets,0.246,0.316,2016
23,24,Cincinnati Reds,0.256,0.316,2016
24,25,New York Yankees,0.252,0.315,2016
25,26,Kansas City Royals,0.261,0.312,2016
26,27,Tampa Bay Rays,0.243,0.307,2016
27,28,Oakland Athletics,0.246,0.304,2016
28,29,Philadelphia Phillies,0.24,0.301,2016
29,30,San Diego Padres,0.235,0.299,2016
0,1,Houston Astros,0.282,0.346,2017
1,2,Cleveland Indians,0.263,0.339,2017
2,3,New York Yankees,0.262,0.339,2017
3,4,Chicago Cubs,0.255,0.338,2017
4,5,Colorado Rockies,0.273,0.338,2017
5,6,Los Angeles Dodgers,0.249,0.334,2017
6,7,Minnesota Twins,0.26,0.334,2017
7,8,St. Louis Cardinals,0.256,0.334,2017
8,9,Washington Nationals,0.266,0.332,2017
9,10,Miami Marlins,0.267,0.331,2017
10,11,Boston Red Sox,0.258,0.329,2017
11,12,Arizona Diamondbacks,0.254,0.329,2017
12,13,Cincinnati Reds,0.253,0.329,2017
13,14,Atlanta Braves,0.263,0.326,2017
14,15,Seattle Mariners,0.259,0.325,2017
15,16,Detroit Tigers,0.258,0.324,2017
16,17,Milwaukee Brewers,0.249,0.322,2017
17,18,New York Mets,0.25,0.32,2017
18,19,Texas Rangers,0.244,0.32,2017
19,20,Oakland Athletics,0.246,0.319,2017
20,21,Pittsburgh Pirates,0.244,0.318,2017
21,22,Tampa Bay Rays,0.245,0.317,2017
22,23,Los Angeles Angels,0.243,0.315,2017
23,24,Philadelphia Phillies,0.25,0.315,2017
24,25,Chicago White Sox,0.256,0.314,2017
25,26,Toronto Blue Jays,0.24,0.312,2017
26,27,Baltimore Orioles,0.26,0.312,2017
27,28,Kansas City Royals,0.259,0.311,2017
28,29,San Francisco Giants,0.249,0.309,2017
29,30,San Diego Padres,0.234,0.299,2017
0,1,Boston Red Sox,0.268,0.339,2018
1,2,Washington Nationals,0.254,0.335,2018
2,3,Tampa Bay Rays,0.258,0.333,2018
3,4,Chicago Cubs,0.258,0.333,2018
4,5,Los Angeles Dodgers,0.25,0.333,2018
5,6,Cleveland Indians,0.259,0.332,2018
6,7,Houston Astros,0.255,0.329,2018
7,8,New York Yankees,0.249,0.329,2018
8,9,Cincinnati Reds,0.254,0.328,2018
9,10,Oakland Athletics,0.252,0.325,2018
10,11,Atlanta Braves,0.257,0.324,2018
11,12,Milwaukee Brewers,0.252,0.323,2018
12,13,Colorado Rockies,0.256,0.322,2018
13,14,St. Louis Cardinals,0.249,0.321,2018
14,15,Texas Rangers,0.24,0.318,2018
15,16,Minnesota Twins,0.25,0.318,2018
16,17,Pittsburgh Pirates,0.254,0.317,2018
17,18,Seattle Mariners,0.254,0.314,2018
18,19,Philadelphia Phillies,0.234,0.314,2018
19,20,Los Angeles Angels,0.242,0.313,2018
20,21,New York Mets,0.234,0.312,2018
21,22,Toronto Blue Jays,0.244,0.312,2018
22,23,Arizona Diamondbacks,0.235,0.31,2018
23,24,Kansas City Royals,0.245,0.305,2018
24,25,Miami Marlins,0.237,0.303,2018
25,26,Chicago White Sox,0.241,0.302,2018
26,27,Detroit Tigers,0.241,0.3,2018
27,28,San Francisco Giants,0.239,0.3,2018
28,29,Baltimore Orioles,0.239,0.298,2018
29,30,San Diego Padres,0.235,0.297,2018
0,1,Houston Astros,0.274,0.352,2019
1,2,Washington Nationals,0.265,0.342,2019
2,3,Boston Red Sox,0.269,0.34,2019
3,4,New York Yankees,0.267,0.339,2019
4,5,Los Angeles Dodgers,0.257,0.338,2019
5,6,Minnesota Twins,0.27,0.338,2019
6,7,Atlanta Braves,0.258,0.336,2019
7,8,Chicago Cubs,0.252,0.331,2019
8,9,Milwaukee Brewers,0.246,0.329,2019
9,10,New York Mets,0.257,0.328,2019
10,11,Oakland Athletics,0.249,0.327,2019
11,12,Colorado Rockies,0.265,0.326,2019
12,13,Tampa Bay Rays,0.254,0.325,2019
13,14,Los Angeles Angels,0.247,0.324,2019
14,15,Cleveland Indians,0.25,0.323,2019
15,16,Arizona Diamondbacks,0.252,0.323,2019
16,17,St. Louis Cardinals,0.245,0.322,2019
17,18,Pittsburgh Pirates,0.265,0.321,2019
18,19,Philadelphia Phillies,0.246,0.319,2019
19,20,Texas Rangers,0.248,0.319,2019
20,21,Seattle Mariners,0.237,0.316,2019
21,22,Cincinnati Reds,0.244,0.315,2019
22,23,Chicago White Sox,0.261,0.314,2019
23,24,Baltimore Orioles,0.246,0.31,2019
24,25,Kansas City Royals,0.247,0.309,2019
25,26,San Diego Padres,0.238,0.308,2019
26,27,Toronto Blue Jays,0.236,0.305,2019
27,28,San Francisco Giants,0.239,0.302,2019
28,29,Miami Marlins,0.241,0.298,2019
29,30,Detroit Tigers,0.24,0.294,2019
